201501 337598 118.432412196940,32.364289839189 118.558211170050,32.316248571361 295258 183776 111482
201501 297734 118.306281749100,32.478071837003 118.193674482230,32.630064485744 294560 193333 101227
201501 138467 117.068362858020,32.504485369249 117.017835418850,32.530821587974 289987 241234 48753
201501 285934 118.193674482230,32.630064485744 118.058505733500,32.780680699221 288936 188877 100059
201501 316729 118.366172316430,32.121684451753 118.363861515340,32.122862863497 287897 211239 76658
201501 310160 118.358593941660,32.125816546857 118.301031422890,32.127609993167 287276 210761 76515
201501 316664 118.363861515340,32.122862863497 118.358593941660,32.125816546857 287139 210652 76487
201501 184968 117.286077259380,31.797219168445 117.311649052840,31.802669589403 285727 193841 91886
201501 319827 118.328005830570,32.452407383419 118.392777430720,32.389981747393 285151 179614 105537
201501 337492 118.558331004010,32.313629932216 118.557022981350,32.310488395099 284338 174599 109739
201501 177291 117.270122814540,31.730738689886 117.268508020560,31.726937379344 284165 220714 63451
201501 92120 116.804330297440,31.903435780591 116.553866192440,31.861762637742 282090 172776 109314
201501 154848 117.062339450080,32.507523191137 117.131414023460,32.414481717552 280420 235461 44959
201501 316877 118.480522745140,32.059749750519 118.366177436770,32.121684834009 273427 199994 73433
201501 328671 118.477448204700,32.060846422777 118.480522745140,32.059749750519 273425 199992 73433
201501 328145 118.356050748930,32.126843387139 118.477237462230,32.061234137424 272780 199469 73311
201501 328323 118.477237462230,32.061234137424 118.477448204700,32.060846422777 272730 199430 73300
201501 265770 117.871910521450,31.689084531517 117.918009853440,31.650654490341 269262 173995 95267
201501 215019 117.537696315780,31.897679521617 117.530755917580,31.894466327237 268850 194225 74625
201501 274635 118.058505733500,32.780680699221 117.961528443530,32.840088928802 268212 171240 96972
201501 212088 117.530755917580,31.894466327237 117.509873278880,31.883115429593 268141 193617 74524
201501 243738 117.938750290370,32.848977250287 117.774000880180,32.910926254404 262899 164865 98034
201501 313201 118.395153358970,32.387865987828 118.333093743150,32.449057811284 262852 170199 92653
201501 336259 118.545647199700,31.625084835712 118.545928099830,31.622970084070 262558 212358 50200
201501 214602 117.525112852200,31.891061635504 117.528557314840,31.892147392029 255209 173335 81874
201501 270216 117.961528443530,32.840088928802 117.942767961770,32.847599789170 253996 160474 93522
201501 131799 117.010555640820,31.954928113356 116.956586344090,31.938100526433 253818 149241 104577
201501 273745 117.929247745200,32.851853431733 117.958006906270,32.841837043426 253215 149724 103491
201501 338402 118.545670375980,31.763691110987 118.570274604570,31.793475014318 251090 200789 50301
201501 338747 118.570274604570,31.793475014318 118.571919581620,31.796968509249 251071 200774 50297
201501 272925 117.529239847370,31.893447278362 117.956277578330,32.015880396522 249041 169345 79696
201501 387845 119.551636274210,30.917026834352 119.651210295920,30.916526329937 249025 200997 48028
201501 387871 119.651210295920,30.916526329937 119.653809453080,30.911381561310 249018 200996 48022
201501 386308 119.653809453080,30.911381561310 119.518043151530,30.905258549231 249017 200995 48022
201501 215391 117.535783104710,31.887787272407 117.533947417400,31.890636404167 248826 196295 52531
201501 324794 118.392777430720,32.389981747393 118.432262179920,32.364320947283 248019 152908 95111
201501 150786 117.113566489590,34.149653796596 117.108497980410,34.148747597140 247447 146805 100642
201501 324822 118.432262179920,32.364320947283 118.432412196940,32.364289839189 246917 152113 94804
201501 328987 118.566002892380,31.259687212715 118.483228441340,31.340421447202 246640 171150 75490
201501 185223 117.311262601810,31.805658548011 117.312492382060,31.807115169633 246423 210001 36422
201501 212090 117.533947417400,31.890636404167 117.509875344980,31.883116349422 246301 194086 52215
201501 157918 117.112748582420,31.995512646003 117.148844474080,31.865321451111 246246 199356 46890
201501 335816 118.545928099830,31.622970084070 118.543016961160,31.563570730937 245830 197797 48033
201501 277747 118.301031422890,32.127609993167 117.963843287000,32.017451225819 244781 174230 70551
201501 125166 117.207036255870,31.274489813211 116.894969233570,30.801015807081 243703 160562 83141
201501 117401 116.956586344090,31.938100526433 116.804330297440,31.903435780591 242994 140651 102343
201501 285426 117.958006906270,32.841837043426 118.054059300890,32.786282403014 242416 143494 98922
201501 66876 116.566910486750,30.584634847128 116.348627727490,30.448902576849 241279 157880 83399
201501 269954 117.942767961770,32.847599789170 117.938750290370,32.848977250287 240609 151043 89566
201501 216484 117.963843287000,32.017451225819 117.538012788810,31.897860315522 240561 170710 69851
201501 305725 117.956277578330,32.015880396522 118.293588243090,32.124722190756 239573 162196 77377
201501 218490 117.774000880180,32.910926254404 117.554218040550,32.999103268045 239439 147355 92084
201501 165092 117.204136076530,31.266506782738 117.202127285750,31.317586633200 238861 162984 75877
201501 266732 117.994217062390,31.601987206221 117.921463299140,31.648773715455 237828 163775 74053
201501 215594 117.535888026790,31.887527127189 117.535783104710,31.887787272407 237625 186543 51082
201501 335555 118.546739359540,31.618044340991 118.541761130060,31.641423616223 237435 193666 43769
201501 168061 117.267495091270,31.722634263673 117.215223681780,31.631897817073 237015 193256 43759
201501 335413 118.571919581620,31.796968509249 118.541933604720,31.725308099328 236964 190821 46143
201501 296905 118.054059300890,32.786282403014 118.190882189390,32.635209325302 234058 139225 94833
201501 309594 118.190882189390,32.635209325302 118.304048741260,32.481127311607 232549 138511 94038
201501 327800 118.469756733260,31.353579715350 118.473333067160,31.350733589619 231391 156950 74441
