201709 325757 118.441795536980,32.361032350139 118.440184246380,32.361532993875 341686 222567 119119
201709 171685 117.242079962290,31.799120841469 117.241830502850,31.799269837177 339399 298942 40457
201709 151775 117.112273827960,32.072092533548 117.112953036750,31.997905427938 335959 278344 57615
201709 150786 117.113566489590,34.149653796596 117.108497980410,34.148747597140 326564 184244 142320
201709 318785 118.381323855810,31.392496379898 118.383085702410,31.392599103279 326283 257478 68805
201709 274635 118.058505733500,32.780680699221 117.961528443530,32.840088928802 321176 225327 95849
201709 324822 118.432262179920,32.364320947283 118.432412196940,32.364289839189 313862 217683 96179
201709 172134 117.241830502850,31.799269837177 117.244813865270,31.794097963675 311622 273827 37795
201709 318943 118.383085702410,31.392599103279 118.384166363930,31.392716005894 308546 244756 63790
201709 313201 118.395153358970,32.387865987828 118.333093743150,32.449057811284 307928 199943 107985
201709 320968 118.384166363930,31.392716005894 118.399168065950,31.382161581125 306111 242927 63184
201709 270216 117.961528443530,32.840088928802 117.942767961770,32.847599789170 304618 214078 90540
201709 321484 118.400066281630,31.381070951376 118.404136054740,31.376447405508 294552 233388 61164
201709 327555 118.404136054740,31.376447405508 118.469756733260,31.353579715350 294204 233081 61123
201709 321013 118.399168065950,31.382161581125 118.400066281630,31.381070951376 291987 232403 59584
201709 138467 117.068362858020,32.504485369249 117.017835418850,32.530821587974 289623 252303 37320
201709 309162 118.259598698190,31.414473360706 118.300768668520,31.386359896888 288155 214424 73731
201709 309242 118.300828585500,31.386269959738 118.299728879900,31.381791411215 288055 214372 73683
201709 309262 118.300768668520,31.386359896888 118.300828585500,31.386269959738 288053 214371 73682
201709 299058 118.299728879900,31.381791411215 118.216951105120,31.467477951832 287639 214019 73620
201709 352187 118.677599206230,31.644574608915 118.756691413160,31.684922140364 283943 174575 109368
201709 310609 118.415736412780,31.372418754701 118.309787386350,31.385331510090 283737 215735 68002
201709 352133 118.756691413160,31.684922140364 118.755010953040,31.689589358228 283667 174462 109205
201709 337151 118.755010953040,31.689589358228 118.551296104070,31.622096373301 283410 174268 109142
201709 309109 118.299330840720,31.381293764274 118.297004768440,31.378841174509 282833 215403 67430
201709 318449 118.297004768440,31.378841174509 118.381313974450,31.392496842269 282417 215050 67367
201709 273745 117.929247745200,32.851853431733 117.958006906270,32.841837043426 278715 181146 97569
201709 154848 117.062339450080,32.507523191137 117.131414023460,32.414481717552 276685 243656 33029
201709 181895 117.313865981010,31.803132592847 117.290840614180,31.801219725186 276649 203997 72652
201709 92120 116.804330297440,31.903435780591 116.553866192440,31.861762637742 274420 183266 91154
201709 285426 117.958006906270,32.841837043426 118.054059300890,32.786282403014 268404 173787 94617
201709 378782 119.179765371060,30.951460018335 119.246248422870,30.937213344770 264440 206135 58305
201709 243738 117.938750290370,32.848977250287 117.774000880180,32.910926254404 261684 175536 86148
201709 336259 118.545647199700,31.625084835712 118.545928099830,31.622970084070 261152 210568 50584
201709 296905 118.054059300890,32.786282403014 118.190882189390,32.635209325302 255463 164991 90472
201709 309594 118.190882189390,32.635209325302 118.304048741260,32.481127311607 254657 164373 90284
201709 312401 118.304048741260,32.481127311607 118.328005830570,32.452407383419 251517 161712 89805
