20170929|17818|115.700250842600,33.930288509306;115.695125560510,33.931129972578|72|34|38
20170929|17819|115.700251112090,33.930288434422;115.695125830000,33.931129897695|212|187|25
20170929|17878|115.700940292080,33.930197825169;115.700247878190,33.930286262797|422|345|77
20170929|17879|115.700942986990,33.930199622378;115.700250573110,33.930288060004|731|637|94
20170929|17880|115.700943256480,33.930200071680;115.700250842600,33.930288509306|72|34|38
20170929|17881|115.700943525980,33.930199996797;115.700251112090,33.930288434422|212|187|25
20170929|17893|115.701063898910,33.219094838610;115.698324875580,33.219226601767|1164|687|477
20170929|17893|115.701064898910,33.219094838610;115.698324875580,33.234226601767|1164|687|477
