timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525692447575325,3,-6,-61,3,-4,0,-8,-7
1525692447590325,-6,29,8,-3,-5,-13,-1,-5
1525692447590325,1,-19,10,-12,-4,-17,-3,-1
1525692447591325,2,13,15,17,5,31,-1,2
1525692447591325,1,1,8,-5,1,-15,0,3
1525692447613327,-2,20,16,3,3,14,-1,8
1525692447613327,-4,-6,-45,-11,-5,0,-2,-28
1525692447614327,-1,14,15,-1,0,-2,-3,3
1525692447614327,-2,-19,-27,-7,-3,-10,4,0
1525692447627328,-4,9,-3,1,-1,-8,1,-1
1525692447627328,2,-10,38,1,-1,1,-1,5
1525692447635328,2,30,-41,-6,0,-1,-1,-9
1525692447635328,0,-1,6,5,2,-1,-3,6
1525692447650329,0,-32,-2,-6,-3,-6,-9,-8
1525692447650329,-3,-21,-16,-2,-1,5,-6,4
1525692447651329,3,37,16,0,-1,-3,-2,-7
1525692447651329,0,-64,-3,-6,-2,2,-4,3
1525692447673330,-6,31,-14,8,5,-4,6,-6
1525692447673330,2,-44,6,-5,1,6,5,2
1525692447674330,-2,10,-37,-4,-1,-9,-8,2
1525692447674330,4,17,30,2,-2,0,3,-6
1525692447687331,-1,-14,18,-2,-5,-41,-1,9
1525692447687331,-3,15,-14,5,2,8,-5,1
1525692447695331,2,2,26,-5,0,37,4,4
1525692447695331,-5,0,-5,2,-3,-38,-1,-6
1525692447710332,-2,12,-5,1,-1,26,-8,0
1525692447710332,6,-1,-15,-3,-4,-27,-3,3
1525692447711332,-14,-33,0,-4,-1,-6,-1,-8
1525692447711332,-4,23,-10,1,2,11,1,-2
1525692447733334,-2,-15,35,1,-1,-11,-1,0
1525692447733334,5,40,17,-6,-3,1,3,1
1525692447734334,-1,-37,13,4,1,0,-6,6
1525692447734334,-2,22,-90,-9,-6,6,0,-3
1525692447747334,1,26,40,2,1,1,6,-6
1525692447747334,-2,-28,-21,4,0,12,1,2
1525692447755335,0,20,37,3,-1,-9,2,0
1525692447755335,-3,-2,-2,0,-1,1,-7,1
1525692447770336,4,6,-7,-2,0,-3,-1,-4
1525692447770336,0,9,3,-2,0,11,5,0
1525692447771336,0,23,11,3,-1,-7,-6,0
1525692447771336,2,-22,12,-4,-1,4,2,-7
1525692447793337,0,0,-26,-5,-1,-9,-4,14
1525692447793337,-1,-1,3,-1,-1,15,2,0
1525692447794337,-3,-1,-28,-2,-5,-22,-3,-15
1525692447794337,2,-5,6,0,1,4,-1,2
1525692447807338,-6,13,12,-4,-1,3,0,-7
1525692447807338,-3,-25,-9,2,1,-6,-2,0
1525692447815338,1,20,-7,-2,-4,6,-1,3
1525692447815338,-1,-7,53,0,-1,0,-1,-1
1525692447830339,-6,-21,-73,-5,-1,-3,-2,-7
1525692447830339,1,34,-16,4,-1,-3,-1,13
1525692447831339,3,-3,-1,2,2,7,6,-21
1525692447831339,-2,12,37,-1,0,-5,-3,1
1525692447853340,2,3,13,0,1,3,0,-1
1525692447853340,0,-22,2,0,-1,8,0,8
1525692447854341,-2,-4,-11,-1,1,8,-2,-6
1525692447854341,0,-11,-5,1,2,-5,-3,3
1525692447876342,4,4,2,0,0,10,5,-2
1525692447876342,-3,-1,-11,-5,-4,-17,-7,-6
1525692447877342,0,-2,7,-4,-1,-6,0,9
1525692447877342,1,-1,6,-2,0,5,-1,-1
1525692447890343,0,6,-17,1,2,11,1,-1
1525692447890343,0,9,32,7,3,-9,2,-5
1525692447891343,-4,-8,-27,-10,-8,-6,-4,6
