20170929|1897|115.049787194010,32.848276275799;115.049915831360,32.847918203377|794|283|511
20170929|1899|115.049866694050,32.848307517966;115.049787194010,32.848276275799|794|283|511
20170929|1904|115.049915831360,32.847918203377;115.050254582370,32.847024153414|794|283|511
20170929|1909|115.050035934800,32.847840476748;115.049866694050,32.848307517966|794|283|511
20170929|1918|115.050254582370,32.847024153414;115.050443855340,32.846517521065|794|283|511
20170929|1920|115.050334711220,32.847045689584;115.050035934800,32.847840476748|794|283|511
20170929|1925|115.050443855340,32.846517521065;115.051051738670,32.844678195875|794|283|511
20170929|1929|115.050593692700,32.846320281727;115.050334711220,32.847045689584|794|283|511
20170929|1932|115.051001792890,32.845887430449;115.050593692700,32.846320281727|794|283|511
20170929|1933|115.051051738670,32.844678195875;115.051171303140,32.844410426958|794|283|511
20170929|1934|115.051171303140,32.844410426958;115.051380428660,32.844154184005|794|283|511
20170929|1935|115.051380428660,32.844154184005;115.051649201670,32.843968997008|794|283|511
20170929|1936|115.051429745630,32.845614963581;115.051001792890,32.845887430449|794|283|511
20170929|1943|115.051649201670,32.843968997008;115.052017417100,32.843875569186|794|283|511
20170929|1944|115.051658544050,32.845518959190;115.051429745630,32.845614963581|794|283|511
20170929|1948|115.052017417100,32.843875569186;115.052186568030,32.843868668264|794|283|511
20170929|1949|115.052186568030,32.843868668264;115.052365690140,32.843871853305|794|283|511
20170929|1950|115.052315205370,32.845390574007;115.051658544050,32.845518959190|794|283|511
20170929|1951|115.052365690140,32.843871853305;115.052584517370,32.843945715896|794|283|511
20170929|1956|115.052584517370,32.843945715896;115.052882934460,32.844120968676|794|283|511
20170929|1959|115.052782773390,32.845408773926;115.052315205370,32.845390574007|794|283|511
20170929|1960|115.052882934460,32.844120968676;115.053081819300,32.844304487006|794|283|511
20170929|1963|115.053081819300,32.844304487006;115.053489470340,32.844851703024|794|283|511
20170929|1968|115.053489470340,32.844851703024;115.053718178920,32.845075790641|794|283|511
20170929|1975|115.053718178920,32.845075790641;115.054394513140,32.845457913689|794|283|511
20170929|1978|115.053737761980,32.845495754321;115.052782773390,32.845408773926|794|283|511
20170929|1982|115.053845019660,32.845462236167;115.053737761980,32.845495754321|794|283|511
20170929|1991|115.054382116520,32.845531850781;115.053845019660,32.845462236167|794|283|511
20170929|1992|115.054394513140,32.845457913689;115.054832257410,32.845515850041|794|283|511
20170929|2008|115.054829652330,32.845639836739;115.054382116520,32.845531850781|794|283|511
20170929|2009|115.054832257410,32.845515850041;115.056961151640,32.845684502241|794|283|511
20170929|2187|115.056961151640,32.845684502241;115.058344003140,32.845759576633|794|283|511
20170929|2276|115.058344003140,32.845759576633;115.058692186360,32.845825854375|794|283|511
20170929|2291|115.058559955790,32.846297304567;115.054829652330,32.845639836739|794|283|511
20170929|2298|115.058692186360,32.845825854375;115.060204214190,32.846322935854|794|283|511
20170929|2396|115.060204214190,32.846322935854;115.061756126790,32.846880300759|794|283|511
20170929|2484|115.061713547110,32.847023319266;115.058559955790,32.846297304567|794|283|511
20170929|2485|115.061756126790,32.846880300759;115.065935583010,32.848180274314|794|283|511
20170929|2597|115.064698616320,32.847863984321;115.061713547110,32.847023319266|794|283|511
20170929|2627|115.065922737240,32.848253754133;115.064698616320,32.847863984321|794|283|511
20170929|2628|115.065935583010,32.848180274314;115.068573726630,32.849110559168|794|283|511
20170929|2670|115.068102745050,32.849017212641;115.065922737240,32.848253754133|794|283|511
20170929|2680|115.068573726630,32.849110559168;115.071511904290,32.850200757377|794|283|511
20170929|2776|115.071488817840,32.850273932192;115.068102745050,32.849017212641|794|283|511
20170929|2778|115.071511904290,32.850200757377;115.073325403460,32.850822703445|794|283|511
20170929|2816|115.073302227170,32.850885868411;115.071488817840,32.850273932192|794|283|511
